Iteration:  NumOfCars:  CarsThatDontFit:  FreeSpace:  PercentFreeSpace:
  448  76  31  90.000000  18.000000 
  449  79  22  90.000000  18.000000 
  450  72  23  90.000000  18.000000 
  451  69  23  90.000000  18.000000 
  452  75  4  90.000000  18.000000 
  453  72  26  90.000000  18.000000 
  454  78  20  95.000000  19.000000 
  455  77  23  95.000000  19.000000 
  456  74  28  95.000000  19.000000 
  457  78  22  95.000000  19.000000 
  458  72  27  95.000000  19.000000 
  459  70  31  100.000000  20.000000 
  460  73  18  105.000000  21.000000 
  461  75  26  105.000000  21.000000 
  462  68  25  105.000000  21.000000 
  463  66  15  105.000000  21.000000 
  464  74  31  105.000000  21.000000 
  465  72  17  105.000000  21.000000 
  466  73  24  105.000000  21.000000 
  467  77  23  105.000000  21.000000 
  468  72  22  105.000000  21.000000 
  469  75  13  105.000000  21.000000 
  470  68  21  105.000000  21.000000 
  471  71  20  105.000000  21.000000 
  472  79  14  100.000000  20.000000 
  473  75  27  100.000000  20.000000 
  474  65  35  100.000000  20.000000 
  475  71  16  100.000000  20.000000 
  476  69  14  100.000000  20.000000 
  477  77  16  100.000000  20.000000 
  478  77  24  100.000000  20.000000 
  479  74  33  100.000000  20.000000 
  480  76  19  100.000000  20.000000 
  481  73  20  100.000000  20.000000 
  482  68  24  100.000000  20.000000 
  483  76  17  100.000000  20.000000 
  484  76  25  100.000000  20.000000 
  485  71  21  100.000000  20.000000 
  486  67  21  100.000000  20.000000 
  487  71  19  100.000000  20.000000 
  488  74  10  95.000000  19.000000 
  489  77  16  95.000000  19.000000 
  490  74  19  95.000000  19.000000 
  491  78  24  95.000000  19.000000 
  492  77  30  95.000000  19.000000 
  493  72  25  95.000000  19.000000 
  494  72  17  95.000000  19.000000 
  495  77  24  95.000000  19.000000 
  496  73  33  95.000000  19.000000 
  497  70  22  95.000000  19.000000 
  498  73  12  90.000000  18.000000 
  499  72  23  90.000000  18.000000 
  500  77  24  90.000000  18.000000 
  501  74  28  90.000000  18.000000 
  502  80  26  90.000000  18.000000 
  503  79  25  90.000000  18.000000 
  504  74  31  90.000000  18.000000 
  505  76  15  80.000000  16.000000 
  506  78  21  80.000000  16.000000 
  507  77  25  80.000000  16.000000 
  508  80  15  80.000000  16.000000 
  509  69  17  80.000000  16.000000 
  510  75  19  80.000000  16.000000 
  511  75  21  80.000000  16.000000 
  512  78  23  80.000000  16.000000 
  513  79  17  80.000000  16.000000 
  514  81  25  80.000000  16.000000 
  515  75  24  80.000000  16.000000 
  516  74  19  85.000000  17.000000 
  517  78  27  85.000000  17.000000 
  518  76  34  85.000000  17.000000 
  519  79  25  85.000000  17.000000 
  520  72  21  85.000000  17.000000 
  521  74  23  85.000000  17.000000 
  522  70  47  80.000000  16.000000 
  523  80  19  85.000000  17.000000 
  524  75  42  85.000000  17.000000 
  525  79  28  85.000000  17.000000 
  526  77  28  85.000000  17.000000 
  527  72  29  90.000000  18.000000 
  528  79  14  90.000000  18.000000 
  529  73  29  90.000000  18.000000 
  530  79  21  85.000000  17.000000 
  531  76  27  85.000000  17.000000 
  532  72  19  80.000000  16.000000 
  533  74  17  80.000000  16.000000 
  534  76  15  80.000000  16.000000 
  535  76  13  85.000000  17.000000 
  536  77  21  85.000000  17.000000 
  537  79  26  85.000000  17.000000 
  538  75  25  85.000000  17.000000 
  539  77  14  85.000000  17.000000 
  540  77  21  85.000000  17.000000 
  541  75  17  85.000000  17.000000 
  542  78  27  90.000000  18.000000 
  543  72  18  90.000000  18.000000 
  544  72  17  90.000000  18.000000 
  545  71  22  95.000000  19.000000 
  546  73  22  90.000000  18.000000 
  547  79  20  90.000000  18.000000 
  548  74  37  90.000000  18.000000 
  549  77  30  90.000000  18.000000 
  550  75  26  90.000000  18.000000 
  551  74  21  90.000000  18.000000 
  552  76  16  90.000000  18.000000 
  553  80  26  90.000000  18.000000 
  554  74  26  90.000000  18.000000 
  555  70  33  85.000000  17.000000 
  556  74  15  85.000000  17.000000 
  557  71  22  90.000000  18.000000 
  558  75  27  100.000000  20.000000 
  559  77  20  100.000000  20.000000 
  560  72  25  100.000000  20.000000 
  561  74  18  100.000000  20.000000 
  562  71  21  100.000000  20.000000 
  563  76  19  100.000000  20.000000 
  564  76  22  100.000000  20.000000 
  565  73  31  100.000000  20.000000 
  566  71  20  100.000000  20.000000 
  567  68  24  100.000000  20.000000 
  568  72  18  105.000000  21.000000 
  569  70  11  105.000000  21.000000 
  570  77  23  105.000000  21.000000 
  571  70  35  105.000000  21.000000 
  572  75  16  100.000000  20.000000 
  573  73  30  100.000000  20.000000 
  574  75  25  100.000000  20.000000 
  575  72  18  100.000000  20.000000 
  576  76  20  100.000000  20.000000 
  577  71  22  100.000000  20.000000 
  578  74  16  100.000000  20.000000 
  579  71  20  100.000000  20.000000 
